datePublication, originPublication,textPublication,disInformationStatus,wordSentences
18.11.2022,sputnik-georgia.com,"Recurrent pro-Kremlin disinformation about downing of flight MH17 and attempt to discredit the Joint Investigative Team (JIT) and the criminal trial.The verdict of the court published on 17 November 2022 was based on strong pieces of evidence and alternative scenarios were excluded based on the evidence.The Court in its ruling stated that there is no doubt that the MH17 was hit by a Buk missile fired from a farm field near Pervomaiskyi in Ukraine. This field was located in separatist-controlled territory. ""This is clear from photographs of a smoke trail in the sky, statements by a protected witness, satellite images, intercepted telephone conversations and transmission mast data, photographs and videos of a Buk TELAR being brought in and removed, and examination of fragments in the remains of a crew member and in the truss and the groove of the aircraft. Investigation in the Netherlands and abroad has not revealed any traces of evidence tampering. Alternative scenarios, for example that the Buk missile was fired from a different area, are ruled out based on the evidence,"" stated in the final verdict.EU HRVP Josep Borrell called the verdict ""an important first step on the path of truth and accountability."" He also stressed that the ""EU reiterates its call on Russia to accept its responsibility in this tragedy and cooperate fully with the ongoing investigations.""See here and here for further debunking by Bellingcat and Polygraph.info, respectively and our interview with the Dutch Safety Board, tasked with investigating the cause of the crash of MH17.Read more disinformation cases about the downing of the flight MH17.",Real,The Court in MH17 case is legally invalid
17.11.2022,es.news-front.info,"The claim is a distortion, misrepresentation and selective manipulative use of the findings of the Human Rights Monitoring Mission to Ukraine sent by the Office of the High Commissioner for Human Rights (OHCHR). Although some claims are technically true, the OHCHR described abuses against Russian POWs by Ukrainian forces as “sporadic cases of torture and ill-treatment”. By contrast, this disinformation story frames these abuses as the dominant norm or policy rather than the exception -as highlighted by the use of the formula “the Russian war prisoners”, where the article “the” seems to suggest that all POWs were tortured-, when it is clearly not the case in the report. At the same time, this disinformation story completely ignores the OHCHR denunciations about abuses against Ukrainian POWs held by Russian forces expressed in the same document. The UN mission affirmed that “the vast majority” of Ukrainian prisoners it interviewed said they were tortured and ill-treated, and explained that while Ukrainian authorities freely allowed these interviews to take place, Russian authorities totally prevented the OHCHR from talking to Ukrainian prisoners.These distortions are an attempt to portray Ukraine in a negative light in order to justify Russia's unprovoked aggression against its neighbour.See other examples of similar disinformation narratives, such as claims that Bucha is a cover-up for Ukrainian fascists torturing Russian prisoners of war, that Ukraine is using anti-retreat troops to shoot in the back those soldiers who try to surrender, or that Ukrainians deported children from Donbas and probably sold their organs. ",Real,"The Russian war prisoners in Ukraine were tortured with electricity, according to the UN"
17.11.2022,"arabic.rt.com, newsformy.com, rtarabic.com","Recurrent pro-Kremlin disinformation about downing of flight MH17 and an attempt to discredit the Joint Investigative Team (JIT) andthe criminal trial. This claim was neither counterbalanced nor critically challenged in the article.The verdict of the court published on 17 November 2022 was based on strong evidence.In its ruling the Court stated that there is no doubt that the MH17 was hit by a Buk missile fired from a farm field near Pervomaiskyi in Ukraine. This field was located in separatist-controlled territory. ""This is clear from photographs of a smoke trail in the sky, statements by a protected witness, satellite images, intercepted telephone conversations and transmission mast data, photographs and videos of a Buk TELAR being brought in and removed, and examination of fragments in the remains of a crew member and in the truss and the groove of the aircraft. Investigation in the Netherlands and abroad has not revealed any traces of evidence tampering. Alternative scenarios, for example that the Buk missile was fired from a different area, are ruled out based on the evidence,"" stated in the final verdict.See here and here for further debunking by Bellingcat and Polygraph.info, respectively and our interview with the Dutch Safety Board, tasked with investigating the cause of the crash of MH17.See here for the statement by the EU High Representative Josep Borrell on the Malaysian Airlines Flight MH17 court ruling.Read more disinformation cases about the downing of flight MH17.",Real,The court decision on MH17 challenges the integrity of the Dutch judicial system
17.11.2022,"tlgrm.ru, novoeizdanie.com, ntv.ru, tvzvezda.ru, aif.ru, ng.ru","Unfounded statement. This claim was made in connection with the recent missile accident in Poland. On 15 November 2022, S-300 missile entered the Polish airspace from the territory of Ukraine, killing two Polish civilians. According to the US and Polish officials, the missile was fired by the Ukrainian air defence troops, which tried to fight with a large-scale Russian missile attack taking place on 15 November 2022. According to the statement of Polish President Andrzej Duda, this situation is an “unfortunate accident” which is a result of a massive Russian missile attack on Ukraine. According to Nato's position, “Russia bears ultimate responsibility as it continues its illegal war against Ukraine”.At the same time, the Polish authorities and NATO representatives underline that this missile accident was not a deliberate attack on Poland and “there are no indications that Russia is preparing offensive military actions against NATO”.The pro-Kremlin media version on the deliberate provocation from Ukraine and Poland is a conspiracy. Russia blames Ukraine and the West for its own invasion of Ukraine started on 24 February 2022.See other similar cases claiming that Ukraine wants to draw NATO into the conflict through the provocation in Poland or that The West presented a mad Russophobic reaction to the missile incident in Poland.",Real,Ukraine and Poland tried to provoke a direct clash between Russia and NATO
16.11.2022,vesti.ru,"As of Wednesday 16 November 2022, Poland said that a Russian-made missile fell in the east of the country, killing two people, AP reports. Three U.S. officials said preliminary assessments suggested the missile was fired by Ukrainian forces at an incoming Russian one amid the crushing salvo against Ukraine’s electrical infrastructure Tuesday. The officials spoke on condition of anonymity to AP because they were not authorised to discuss the matter publicly, as of early on 16 November 2022.The pro-Kremlin media version on the deliberate provocation from Ukraine is a conspiracy. Russia blames Ukraine and the West for its own invasion of Ukraine started on 24 February 2022. Ukraine is also dehumanised, presented as a ""Nazi"" country, capable of staging evidence of war crimes committed by Russian occupiers only to impress Western public opinion, using the hahaganda method. Thus, pro-Kremlin media call the internationally investigated war crimes of Russia, including by ICC, ""provocations"" from the Ukrainian side. ""Corpses in Bucha move, stand up and avoid public transport"", claimed pro-Kremlin media.See more disinformation cases on Ukrainian provocations, as well as invasion of Ukraine.",Real,Ukraine wants to draw NATO into the conflict through the provocation in Poland
16.11.2022,"rtarabic.com, almarsad.co, arabic.rt.com","This message is a part of the Kremlin’s narrative about the Russophobic and anti-Russian Poland. Pro-Kremlin outlets regularly accuse Poland countries of Russophobia.This claim was neither counterbalanced nor critically challenged in the article.This claim was made in connection with the recent missile accident in Poland. On 15 November 2020, an S-300 missile entered Polish airspace from the territory of Ukraine, killing two Polish civilians. According to Polish officials, the missile was fired by the Ukrainian air defence troops, which tried to fight a large-scale Russian missile attack taking place on the same day. According to the statement of Polish President Andrzej Duda, this situation is an “unfortunate accident” which is a result of a massive Russian missile attack on Ukraine. According to Nato, “Russia bears ultimate responsibility as it continues its illegal war against Ukraine”.At the same time, the Polish authorities and NATO representatives underline that this missile accident was not a deliberate attack on Poland and “there are no indications that Russia is preparing offensive military actions against NATO”.",Real,Poland wants to drag NATO into a direct confrontation with Russia
16.11.2022,asd.news,"No evidence given. Recurring pro-Kremlin disinformation narrative alleging Ukraine is responsible for war crimes. Ukraine does not plan, or want, to deport the residents of Kherson. Kherson is part of Ukraine. The city was liberated from Russian occupation on 11 November 2022. The Russian army conducted a brutal occupation and destroyed key energy infrastructure, electricity lines and stations. Local authorities and the government are working on restoring the energy supplies and food deliveries. See our recent article ‘Blessed’ are the ‘evacuated’ plus similar disinformation narratives: Russian withdrew from Kherson because Ukraine wants to blow up the Kakhovka dam, Zelenskyy saw that Kherson is a Russian city, Ukraine wants to blow up the Kakhovka dam to block water supply to Crimea.",Real,Ukraine wants to deport residents of Kherson
16.11.2022,bgr.news-front.info,"This is a motif from a broader disinformation campaign conducted by the Kremlin, aiming to prove that its “special military operation”, i.e., the illegal and unjustified full-scale war in Ukraine is going 'according to plan' since the beginning.Russia’s “special military operation” have seen a few significant military turning points, most of them unquestionably to Russia’s disadvantage. Yet, the pro-Kremlin disinformation toolbox try to present all military setbacks suffered by Russia on the frontlines in an unrealistic manner. For instance, commentators regularly echo the claim that Russia is deliberately slowing down its operations to minimise civilian casualties.Kherson was the first major city and only provincial capital that the Russian forces captured in the early stages of the full-scale invasion, and also an important Black Sea hub. Furthermore, Russia illegally annexed it in late September, claiming that Kherson and the three other Ukrainian regions would be Russian “forever"". ”Billboards went up in Kherson itself, with messages: “Russia is here forever.”Further proof that the loss of Kherson is a significant blow for the Kremlin’s military agenda is that senior Russian commanders have acknowledged setbacks for the first time since late February 2022.More cases of disinformation representing the war in Ukraine in a false manner: Russia is winning against the Ukrainian Nazis and the West is doomed and Ukrainian forces fired missiles at the Zaporizhzhia station and Russian defenses repels them.",Real,Withdrawal of Russian troops from Kherson is for them to rearm and regroup
16.11.2022,web.archive.org,"This message is a part of the Kremlin’s narrative about the Russophobic and anti-Russian West. Pro-Kremlin outlets regularly accuse the authorities of Western countries of Russophobia and inspiring anti-Russian sentiments in order to reach particular domestic goals.This claim was made in connection with the recent missile accident in Poland. On 15 November 2022, an S-300 missile entered Polish airspace from the territory of Ukraine, killing two Polish civilians. According to the US and Polish officials, the missile was fired by the Ukrainian air defence troops, which tried to fight a large-scale Russian missile attack taking place on the same day. According to the statement of Polish President Andrzej Duda, this situation is an “unfortunate accident” which is a result of a massive Russian missile attack on Ukraine. According to Nato's position, “Russia bears ultimate responsibility as it continues its illegal war against Ukraine”.At the same time, the Polish authorities and NATO representatives underline that this missile accident was not a deliberate attack on Poland and “there are no indications that Russia is preparing offensive military actions against NATO”.See other examples of similar messages claiming that constant intimidation with Russia is used to make Poland economically dependent on the USA, that the Polish authorities created an insane hysteria of intimidation with Russia and that the national security strategy of Poland is a manifestation of traditional Russophobia of the Polish authorities.",Real,The Western reaction to the missile incident in Poland was Russophobic
15.11.2022,actualidad-rt.com,"Conspiracy theory not backed by any evidence. In fact, the response of Western authorities to the explosion that killed 2 people on the Polish village of Przewodow on 15 November 2022 was very cautious and transparent. Instead of calling for an escalation, those leaders urged to wait for the results of a full investigation, and quickly released the resulting information to the public. Early misreporting about a “suspected Russian missile” could be easily explained because at the same time Russia launched over 100 cruise missiles against cities in neighbouring Ukraine.Based on initial information of the incident, Polish president Andrzej Duda stated the explosive was “most likely Russian-made”, but in less than 24 hours later, more information became available and he said it was “very likely” that the missiles were from Ukraine’s air defence. “Absolutely nothing indicates that this was an intentional attack on Poland. It’s very likely that it was a rocket used in anti-missile defence, meaning that it was used by Ukraine’s defence forces”, he explained. US president Joe Biden affirmed that it was unlikely that the missile had been fired from Russia given its trajectory, and told NATO and G7 partners that the blast was caused by a Ukrainian air defence missile. NATO secretary general Jens Stoltenberg said that there was no indication that it was a deliberate attack although “Russia bears ultimate responsibility, as it continues its illegal war against Ukraine”.The term “false positive”, widely known among Spanish-speaking audiences, refers to a scandal involving the Colombian army, which between 1988 and 2014 executed thousands of people falsely presented them as guerrilla fighters, as proven by Colombia’s transitional peace court. In this regard, it is used here with a similar meaning as “false flag” or “provocation”.See other examples of similar disinformation narratives, such as claims that Ukraine wants to drag NATO into the conflict through the provocation in Poland, that Poland could annex Western Ukraine, that the US is prolonging war in Ukraine to benefit from weapons sales, or that Kyiv shelled its own soldiers using US-supplied HIMARS rockets.",Real,Missiles falling in Poland are trying to create conflict and avert negotiations with Russia
15.11.2022,oroszhirek.hu,"Recurrent pro-Kremlin disinformation narrative about the role of the US in 2014 Euromaidan in Ukraine and claiming that Ukraine is a Nazi state, supported by the US.First of all, in 2014, there was no coup, nor a western orchestrated protest in Ukraine. The demonstrations which began in Kyiv in November 2013 – called ""Maidan"", or ""Euromaidan"" – were a result of the Ukrainian people's frustration with the former President Yanukovych. After seven years of negotiation, he refused to sign the EU–Ukraine Association Agreement and halted progress towards Ukraine's closer relationship with the EU due to Russian pressure. The protesters' demands included constitutional reform, a stronger role for parliament, the formation of a government of national unity, an end to corruption, early presidential elections and an end to violence.The myth of Nazi-ruled Ukraine has been the cornerstone of Russian disinformation about the country since the very beginning of the 2013-14 Euromaidan protests, when it was used to discredit the pro-European popular uprising in Kyiv and, subsequently, the broader pro-Western shift in Ukraine's foreign policy. Far-right groups enjoyed a very limited presence during the Euromaidan itself and had poor results in the 2019 election cycle, falling short of the 5% minimum required to enter into parliament.A law passed in Ukraine in 2015 bans Nazi and Communist ideologies. The law prohibits the public use and propaganda of Nazi and Communist symbols. Far-right groups do exist in Ukraine, like in any other country, but they have a minor influence on politics and social life.Although it was just one among dozens of volunteer militias, Azov unit garnered controversy over the far-right politics of its initial founders, the use of neo-Nazi symbolism in some of its insignia, and the anti-Semitic views of some members. The unit was integrated into the National Guard of Ukraine in 2015. Since its integration, Azov regiment members have repeatedly denied being a far-right political unit, although they acknowledge that it includes individuals with such views.Learn more about the reasons behind Kremlin's obsession with framing Ukraine as a Nazi state in the EUvsDisinfo analysis titled ""Why does Putin portray himself as the tamer of neo-Nazism"".",Real,The US and Ukraine support Nazism
15.11.2022,sputnikarabic.ae,"Recurrent pro-Kremlin disinformation narrative about biological weapons being secretly developed by the US in countries bordering Russia. This narrative is a leitmotif in a yearlong disinformation campaign conducted by the Russian state and pro-Kremlin outlets and is currently deployed in an attempt to justify Russia’s unprovoked invasion of Ukraine. The claim has been neither counterbalanced nor critically challenged in the article.The US biolabs are not for military purposes. In fact, biological laboratories are involved in preventing the risks of complex diseases and, together with other similar projects, counteracting bioterrorism. Such claims have traditionally focused on the presence of US biolabs in Ukraine, Georgia and Armenia. In Ukraine, the claim often refers to the Science and Technology Center in Ukraine (STCU), which is an intergovernmental organisation established in an international agreement in 1993. Its mission is to support civilian science, technology partnerships and collaboration through chemical, biological, radiological, and nuclear risk mitigation. The projects of STCU partners include research on adjuvant for improvement of cancer vaccines, detecting trace impurities in biological tissues, human vision diagnostics, and therapy among many others.In Georgia, it is the Richard Lugar Centre for Public Health Research, which is a facility of the National Centre for Disease Control and Public Health (NCDC). It is a top-tiered institution in NCDC’s laboratory network and serves as a reference laboratory for Georgia’s public health system. Read more about the disinformation campaign surrounding the Lugar Laboratory on Myth Detector.As for Armenia, the National Center for Disease Control and Prevention of Armenia is under the jurisdiction of the Ministry of Health of the Republic of Armenia. The laboratories are not American, they belong exclusively to the Republic of Armenia. No other state or state structure has an impact on its activities or governance.For more on pro-Kremlin disinformation on the alleged development of bioweapons by the US, read here.",Real,The US has biological military activity in dozens of countries
